
-----------------------------Channel Probabilities------------------------------

Channel 0:	Stay Success:  0.850100573702816	Stay Failure:  0.8032720613898353
Channel 1:	Stay Success:  0.8755657715606656	Stay Failure:  0.798796772488502
Channel 2:	Stay Success:  0.837443097963838	Stay Failure:  0.7790308535925943
Channel 3:	Stay Success:  0.8471810612346173	Stay Failure:  0.8100486821070383
Channel 4:	Stay Success:  0.8475006681686832	Stay Failure:  0.8201771561131543
Channel 5:	Stay Success:  0.8325208497359029	Stay Failure:  0.7996507699924348
Channel 6:	Stay Success:  0.8484398552507307	Stay Failure:  0.7820685039629588
Channel 7:	Stay Success:  0.8394819106275185	Stay Failure:  0.8055069234663594
Channel 8:	Stay Success:  0.8325740956107702	Stay Failure:  0.7835908909115222
Channel 9:	Stay Success:  0.8571054140168723	Stay Failure:  0.7883571077940117
Channel 10:	Stay Success:  0.8294091150927121	Stay Failure:  0.8050790599119457
Channel 11:	Stay Success:  0.8382264464675065	Stay Failure:  0.7926117236754611
Channel 12:	Stay Success:  0.859588894643877	Stay Failure:  0.8251702900608932
Channel 13:	Stay Success:  0.8389086393820081	Stay Failure:  0.8067987769423416
Channel 14:	Stay Success:  0.843160542542928	Stay Failure:  0.7931598510887741
Channel 15:	Stay Success:  0.8526483997305818	Stay Failure:  0.8134362545714915
Channel 16:	Stay Success:  0.8319355431268677	Stay Failure:  0.8151643864947055
Channel 17:	Stay Success:  0.841976931428665	Stay Failure:  0.8206872761369709
Channel 18:	Stay Success:  0.8303765421007935	Stay Failure:  0.7807557763891458
Channel 19:	Stay Success:  0.8605337978255603	Stay Failure:  0.8018928119619184
Channel 20:	Stay Success:  0.8302868307593051	Stay Failure:  0.8229545678022472
Channel 21:	Stay Success:  0.8350511469027349	Stay Failure:  0.8241339024460727
Channel 22:	Stay Success:  0.869642546829143	Stay Failure:  0.79342782934211
Channel 23:	Stay Success:  0.8404629695248061	Stay Failure:  0.8147262432123399
Channel 24:	Stay Success:  0.8497659239846658	Stay Failure:  0.8229469617281798
Channel 25:	Stay Success:  0.8238763714941936	Stay Failure:  0.8161518788319782
Channel 26:	Stay Success:  0.8621911865551071	Stay Failure:  0.781428044791232
Channel 27:	Stay Success:  0.8469284669758311	Stay Failure:  0.7949954133281223
Channel 28:	Stay Success:  0.8531706280910341	Stay Failure:  0.7871779003192607
Channel 29:	Stay Success:  0.8359184725487009	Stay Failure:  0.8026641598040561
Channel 30:	Stay Success:  0.8588743398970483	Stay Failure:  0.7910437224480434
Channel 31:	Stay Success:  0.8392954007834089	Stay Failure:  0.7812273982780964
Channel 32:	Stay Success:  0.8331034695325424	Stay Failure:  0.7962192779230399
Channel 33:	Stay Success:  0.8537336530697119	Stay Failure:  0.8241188790775306
Channel 34:	Stay Success:  0.8617252498381825	Stay Failure:  0.7847728589878948
Channel 35:	Stay Success:  0.8479811914097906	Stay Failure:  0.8183259288294197
Channel 36:	Stay Success:  0.8349297736191951	Stay Failure:  0.7752506471144603
Channel 37:	Stay Success:  0.8332861179193167	Stay Failure:  0.8124554756843165
Channel 38:	Stay Success:  0.8511369821384419	Stay Failure:  0.7861797892190066
Channel 39:	Stay Success:  0.8308449532736728	Stay Failure:  0.8068012563719857
Channel 40:	Stay Success:  0.8744655838773792	Stay Failure:  0.7889262589846201
Channel 41:	Stay Success:  0.8736243259943928	Stay Failure:  0.8185929270420798
Channel 42:	Stay Success:  0.8692271019281811	Stay Failure:  0.8000680229295177
Channel 43:	Stay Success:  0.8297768200158017	Stay Failure:  0.7949024389607667
Channel 44:	Stay Success:  0.8372028104870565	Stay Failure:  0.7814929367511912
Channel 45:	Stay Success:  0.8676229925132386	Stay Failure:  0.7766899459993515
Channel 46:	Stay Success:  0.8385586964088163	Stay Failure:  0.7970891606453261
Channel 47:	Stay Success:  0.8657700241391945	Stay Failure:  0.7974184786026747
Channel 48:	Stay Success:  0.8670667633413175	Stay Failure:  0.8176719553608138
Channel 49:	Stay Success:  0.8253615578713709	Stay Failure:  0.8160114253971891
Channel 50:	Stay Success:  0.8382004225151665	Stay Failure:  0.7995106910846779
Channel 51:	Stay Success:  0.8610515435850445	Stay Failure:  0.7965001716867118
Channel 52:	Stay Success:  0.8428833562164008	Stay Failure:  0.7895711903033704
Channel 53:	Stay Success:  0.8608776765842072	Stay Failure:  0.7831709612149358
Channel 54:	Stay Success:  0.8431527372024203	Stay Failure:  0.8174727228092425
Channel 55:	Stay Success:  0.8530614484516812	Stay Failure:  0.8075003399654198
Channel 56:	Stay Success:  0.8603671597600644	Stay Failure:  0.7772985928500653
Channel 57:	Stay Success:  0.8738449678930312	Stay Failure:  0.7890117374550701
Channel 58:	Stay Success:  0.8376547296669085	Stay Failure:  0.7803630957201689
Channel 59:	Stay Success:  0.826187903366664	Stay Failure:  0.8172713430353754
Channel 60:	Stay Success:  0.8316709314799017	Stay Failure:  0.8050859462866546
Channel 61:	Stay Success:  0.8674040866117116	Stay Failure:  0.7850175235667907
Channel 62:	Stay Success:  0.8582495688296949	Stay Failure:  0.8206337998678714
Channel 63:	Stay Success:  0.8732310576860861	Stay Failure:  0.8169914870065468
Channel 64:	Stay Success:  0.8360229267729794	Stay Failure:  0.8181486338635956
Channel 65:	Stay Success:  0.8526027766152254	Stay Failure:  0.803762083853404
Channel 66:	Stay Success:  0.8676799336784299	Stay Failure:  0.7967915416216587
Channel 67:	Stay Success:  0.8642733989925039	Stay Failure:  0.8049764453926074
Channel 68:	Stay Success:  0.8555349779732505	Stay Failure:  0.8030789670582568
Channel 69:	Stay Success:  0.832104432632253	Stay Failure:  0.7930228623635269
Channel 70:	Stay Success:  0.8280685451959032	Stay Failure:  0.814593064643467
Channel 71:	Stay Success:  0.8731594339103387	Stay Failure:  0.7949871346615344
Channel 72:	Stay Success:  0.8584456534773234	Stay Failure:  0.7758035902148124
Channel 73:	Stay Success:  0.8376153184975743	Stay Failure:  0.8197878377070402
Channel 74:	Stay Success:  0.8400128996572378	Stay Failure:  0.7883419396886339
Channel 75:	Stay Success:  0.8416218738045642	Stay Failure:  0.7967799103292491
Channel 76:	Stay Success:  0.8566454339899722	Stay Failure:  0.7893130879183107
Channel 77:	Stay Success:  0.8611423188370759	Stay Failure:  0.7972546732085419
Channel 78:	Stay Success:  0.8471843364034233	Stay Failure:  0.7942038610220806
Channel 79:	Stay Success:  0.8517235237153148	Stay Failure:  0.8085460082520042
Channel 80:	Stay Success:  0.8280889683067421	Stay Failure:  0.7848625731556266
